CNPJ PETRO;PETROBRAS;CIDADE;UF;;;;
33.000.167/0102-55;REFAP;CANOAS;RS;;;;
33.000.167/0088-62;REDUC;DUQUE DE CAXIAS;RJ;;;;
33.000.167/1055-58;PARQUE TUBOS;IMBOASSICA/ MACAÉ;MCE;;;;
33.000.167/0181-59;UTE ;JUIZ DE FORA;MG;;;;
33.000.167/0071-14;UTE- CANOAS;CANOAS;RS;;;;
33.000.167/0118-12;UTGC - FAZ MONSARAS;LINHARES;ES;;;;
33.000.167/0116-50;UTE- CUBATÃO;CUBATÃO;SP;;;;
33.000.167/0260-97;BASERV;IMBOASSICA/ MACAÉ;MCE;;;;
33.000.167/1044-03;TECAB;CABIÚNAS;MCE;;;;
33.000.167/0004-54;EDIVIT;VITORIA;ES;;;;
33.000.167/0266-82 ;UTE-MURICY;CAMAÇARI;BA;;;;
33.000.167/1111-08;RENEST;IPOJUCA;PE;;;;
33.000.167/0055-02;LUBNOR;FORTALEZA;CE;;;;
33.000.167/0852-63;RECAP;MAUÁ;SP;;;;
33.000.167/0226-95;ARM-RIO(CORDOVIL);RIO DE JANEIRO;RJ;;;;
33.000.167/0263-30;PETRO FISCAL;N. CAVALEIRO;MCE;;;;
33.000.167/0147-57;RPBC;CUBATÃO;SP;;;;
33.000.167/1091-11;UO-RNCE/AIG-MA;GUAMARÉ;RN;;;;
33.000.167/0809-70;REPAR;ARAUCÁRIA;PR;;;;
33.000.167/0143-23;RLAM;SÃO FRANCISCO DO CONDE;BA;;;;
33.000.167/0093-20;REGAP;BETIM;MG;;;;
33.000.167/0256-00;UO-BA(TAQUIPE);SÃO SEBASTIÃO DO PASSÉ;BA;;;;
33.000.167/0769-49;FRONAPE(CAJU);RIO DE JANEIRO;RJ;;;;
33.000.167/1007-50;IMBETIBA;MACAÉ;MCE;;;;
33.000.167/0643-47;REPLAN;PAULINIA;SP;;;;
33.000.167/0577-23;UO-SEAL - R ACRE/ AMERICA;ARACAJU;SE;;;;
33.000.167/0008-88;UO-SEAL PILAR;MARECHAL DEODORO;AL;;;;
33.000.167/1045-86;UO-SEAL PILAR;PILAR;AL;;;;
33.000.167/1119-57;ARM-URUCU;COARI;AM;;;;
33.000.167/0121-18;UTGCA- CARAGUA;CARAGUATATUBA;SP;;;;
33.000.167/0819-42;CENPES;RIO DE JANEIRO;RJ;;;;
40.180.943/0001-68;REMAN-QUIXITO;MANAUS;AM;;;;
33.000.167/0025-89;UO-ES - TIMS;SERRA;ES;;;;
33.000.167/0091-68;UTE-BLS SEROPEDICA;SEROPEDICA;RJ;;;;
33.000.167/0148-38;UTE-JSP -ALTO;ALTO DO RODRIGUES;RN;;;;
33.000.167/0230-71;FAFEN;CAMAÇARI;BA;;;;
33.000.167/1118-76;UO-AM CÉSAR DO REGO;MANAUS;AM;;;;
33.000.167/0496-23;SIX;SÃO MATEUS DO SUL;PR;;;;
33.000.167/0009-69;UO-RNCE;MOSSORÓ;RN;;;;
33.000.167/0092-49;UTE-GLB TERESOPOLIS;CAMPOS ELISEOS;RJ;;;;
33.000.167/0026-60;UTE VILA EMIR;SÃO PAULO;SP;;;;
33.000.167/0087-81;UTE BARRA;BARRA DE MACAÉ;MCE;;;;
33.000.167/0114-99;UTE SUL;ANCHIETA;ES;;;;
33.000.167/0822-48;REVAP;SÃO JOSÉ DOS CAMPOS;SP;;;;
33.000.167/0023-17;UTE - AUR;IBIRITÉ;MG;;;;
33.000.167/0245-58;EDISEN;RIO DE JANEIRO;RJ;;;;
33.000.167/0117-31;UTE- TRÊS LAGOAS;TRÊS LAGOAS;MS;;;;
33.000.167/0249-81;EDISA;SANTOS;SP;;;;
33.000.167/0997-28;UO-ES NOVA ESPERANÇA;SÃO MATEUS;ES;;;;
08.627.559/0001-58;UTE-AREMBEPE;CAMAÇARI;BA;;;;
33.000.167/0125-41;COPERJ;ITABORAI;RJ;;;;
33.000.167/0104-17;CAUCAIA;FORTALEZA;CE;;;;
33.000.167/0814-38;UO-SEAL - ENGENHO SOLEDADE;JAPARATUBA;SE;;;;
33.000.167/0236-67;BASE TAQUIPE;CATU;BA;;;;
33.000.167/0230-71;UTE- CAMAÇARI;CAMAÇARI;BA;;;;
11.200.595/0001-45;ESTALEIRO;ARACRUZ;ES;;;;
71.874.952/0001-82;PETRO P;JACAREPAGUA;RJ;;;;
33.000.167/1131-43;Darcy Vargas ;Manaus ;AM ;;;;
33.000.167/0239-00;GALPÃO ;BELFORD ROCHO;RJ ;;;;
33.000.167/1049-00;EDIRN;NATAL ;RN;;;;
02.707.630/0001-26;UTE-BAHIA ; São Francisco do Conde;BA;;;;
33.000.167/0001-01;MATRIZ ;RIO DE JANEIRO;RJ;;;;
33.000.167/0132-70;TORRE PITUBA;Salvador ;BA ;;;;
33.000.167/1090-30;TERMINAL GRU;GUARULHOS ;SP;;;;
33.000.167/1124-14;RPBA ;Candeias;BA;;;;
34.028.316/7646-77;TECA GALEÃO;RIO DE JANEIRO;RJ ;;;;
