"NOME ORIGEM;NOME DESTINO"
"ATIVOS DE INFORMATICA;EQUIPAMENTOS DE INFORMATICA"
"BATERIAS E CARREGADORES;BATERIA"
"BOBINAS;BOBINA"
"BOMBAS E ACESSORIOS;BOMBA"
"BUCHA;BUCHA"
"CABOS ELETRICOS;CABO"
"CAIXA DE PASSAGEM;CAIXA DE PASSAGEM"
"CORREIAS;CORREIA"
"FERRAMENTAS;FERRAMENTAS"
"FILTROS;FILTRO"
"GASES INDUSTRIAIS;GAS"
"JUNTAS;JUNTA"
"LAMPADAS;LAMPADA"
"MATERIAIS DE LABORATORIO;EQUIPAMENTOS DE LABORATORIO"
"MATERIAIS DE MANUTENCAO;MATERIAIS DE MANUTENCAO"
"MATERIAIS ELETRONICOS;MATERIAL ELETRICO"
"MOTORES E ACESSORIOS;MOTOR"
"PAINEL ELETRICO;PAINEL"
"PARAFUSOS E PECAS DE FIXACAO;PARAFUSO"
"PECAS DIVERSAS;PECAS E ACESSORIOS"
"ROLAMENTOS;ROLAMENTO"
"SOBRAS DE MATERIAIS;MATERIAL DIVERSO"
"TUBOS E CONEXOES;TUBOS E CONEXOES"
"VALVULAS;VALVULAS"
"VALV.ESF.1;VALVULAS"
